t	w1	w2	w3	w4
0.331	9.827511505	8.891973726	7.956435947	6.085360388
0.332	9.829400499	8.89371333	7.958026161	6.086651822
0.333	9.831264314	8.895429746	7.959595178	6.087926043
0.334	9.833103286	8.897123284	7.961143282	6.089183279
0.335	9.834917746	8.898794249	7.962670751	6.090423757
0.336	9.836708021	8.900442941	7.964177861	6.0916477
0.337	9.838474433	8.902069657	7.965664882	6.09285533
0.338	9.840217301	8.903674691	7.967132082	6.094046863
0.339	9.841936937	8.905258331	7.968579726	6.095222514
0.34	9.843633653	8.906820863	7.970008073	6.096382494
0.341	9.845307752	8.908362567	7.971417383	6.097527013
0.342	9.846959537	8.909883722	7.972807907	6.098656277
0.343	9.848589306	8.911384601	7.974179897	6.099770488
0.344	9.850197351	8.912865475	7.9755336	6.100869848
0.345	9.851783962	8.91432661	7.976869258	6.101954555
0.346	9.853349425	8.91576827	7.978187114	6.103024803
0.347	9.854894022	8.917190713	7.979487404	6.104080786
0.348	9.856418031	8.918594196	7.980770362	6.105122693
0.349	9.857921726	8.919978973	7.982036219	6.106150713
0.35	9.859405378	8.921345291	7.983285204	6.10716503
0.351	9.860869254	8.922693397	7.984517541	6.108165827
0.352	9.862313618	8.924023535	7.985733451	6.109153285
0.353	9.86373873	8.925335943	7.986933155	6.11012758
0.354	9.865144847	8.926630857	7.988116868	6.111088889
0.355	9.866532221	8.927908512	7.989284803	6.112037385
0.356	9.867901103	8.929169136	7.99043717	6.112973238
0.357	9.869251738	8.930412958	7.991574177	6.113896616
0.358	9.870584371	8.9316402	7.992696029	6.114807687
0.359	9.871899241	8.932851085	7.993802928	6.115706615
0.36	9.873196586	8.934045829	7.994895073	6.11659356
0.361	9.874476637	8.935224649	7.99597266	6.117468683
0.362	9.875739627	8.936387755	7.997035884	6.118332142
0.363	9.876985782	8.937535359	7.998084936	6.119184091
0.364	9.878215327	8.938667666	7.999120006	6.120024685
0.365	9.879428483	8.939784881	8.000141278	6.120854074
0.366	9.880625469	8.940887204	8.001148938	6.121672408
0.367	9.8818065	8.941974833	8.002143167	6.122479835
0.368	9.882971789	8.943047966	8.003124144	6.123276499
0.369	9.884121545	8.944106795	8.004092045	6.124062544
0.37	9.885255977	8.945151511	8.005047045	6.124838112
0.371	9.886375287	8.946182301	8.005989315	6.125603343
0.372	9.887479678	8.947199352	8.006919026	6.126358373
0.373	9.888569349	8.948202847	8.007836344	6.12710334
0.374	9.889644495	8.949192965	8.008741436	6.127838377
0.375	9.89070531	8.950169887	8.009634463	6.128563617
0.376	9.891751986	8.951133787	8.010515588	6.129279189
0.377	9.89278471	8.952084839	8.011384967	6.129985224
0.378	9.893803669	8.953023214	8.012242759	6.130681848
0.379	9.894809046	8.953949081	8.013089117	6.131369187
0.38	9.895801023	8.954862608	8.013924193	6.132047364
0.381	9.896779777	8.955763958	8.014748139	6.132716501
0.382	9.897745485	8.956653294	8.015561102	6.13337672
0.383	9.898698321	8.957530776	8.01636323	6.134028138
0.384	9.899638457	8.958396561	8.017154665	6.134670874
0.385	9.900566062	8.959250807	8.017935552	6.135305042
0.386	9.901481302	8.960093666	8.01870603	6.135930757
0.387	9.902384343	8.960925291	8.019466238	6.136548133
0.388	9.903275348	8.96174583	8.020216313	6.137157279
0.389	9.904154476	8.962555433	8.020956391	6.137758306
0.39	9.905021886	8.963354244	8.021686603	6.138351321
0.391	9.905877734	8.964142408	8.022407083	6.138936432
0.392	9.906722174	8.964920067	8.023117959	6.139513745
0.393	9.907555359	8.96568736	8.02381936	6.140083362
0.394	9.908377438	8.966444425	8.024511412	6.140645386
0.395	9.90918856	8.9671914	8.02519424	6.14119992
0.396	9.90998887	8.967928418	8.025867966	6.141747062
0.397	9.910778513	8.968655612	8.026532712	6.142286911
0.398	9.91155763	8.969373113	8.027188597	6.142819564
0.399	9.912326362	8.970081051	8.02783574	6.143345117
0.4	9.913084848	8.970779553	8.028474257	6.143863666
0.401	9.913833224	8.971468744	8.029104263	6.144375302
0.402	9.914571625	8.972148749	8.029725872	6.144880119
0.403	9.915300184	8.972819689	8.030339195	6.145378207
0.404	9.916019031	8.973481687	8.030944344	6.145869656
0.405	9.916728297	8.974134861	8.031541426	6.146354554
0.406	9.917428109	8.974779329	8.032130549	6.14683299
0.407	9.918118593	8.975415207	8.03271182	6.147305048
0.408	9.918799874	8.976042609	8.033285344	6.147770813
0.409	9.919472073	8.976661648	8.033851222	6.148230371
0.41	9.920135313	8.977272436	8.034409558	6.148683803
0.411	9.920789713	8.977875082	8.034960452	6.149131192
0.412	9.921435389	8.978469696	8.035504003	6.149572617
0.413	9.92207246	8.979056384	8.036040309	6.150008158
0.414	9.922701039	8.979635253	8.036569466	6.150437894
0.415	9.92332124	8.980206405	8.03709157	6.150861901
0.416	9.923933173	8.980769944	8.037606715	6.151280258
0.417	9.924536951	8.981325972	8.038114994	6.151693037
0.418	9.92513268	8.981874589	8.038616498	6.152100315
0.419	9.925720469	8.982415893	8.039111317	6.152502164
0.42	9.926300423	8.982949982	8.03959954	6.152898657
0.421	9.926872647	8.983476952	8.040081256	6.153289865
0.422	9.927437244	8.983996898	8.040556551	6.153675859
0.423	9.927994315	8.984509913	8.041025511	6.154056707
0.424	9.928543961	8.98501609	8.04148822	6.154432479
0.425	9.92908628	8.985515521	8.041944762	6.154803243
0.426	9.929621371	8.986008294	8.042395218	6.155169064
0.427	9.93014933	8.9864945	8.04283967	6.15553001
0.428	9.930670251	8.986974224	8.043278198	6.155886144
0.429	9.931184229	8.987447555	8.04371088	6.156237532
0.43	9.931691356	8.987914576	8.044137796	6.156584235
0.431	9.932191724	8.988375372	8.044559021	6.156926318
0.432	9.932685422	8.988830026	8.044974631	6.157263841
0.433	9.933172539	8.98927862	8.045384702	6.157596865
0.434	9.933653164	8.989721235	8.045789307	6.15792545
0.435	9.934127382	8.99015795	8.046188518	6.158249655
0.436	9.934595279	8.990588844	8.046582409	6.158569539
0.437	9.93505694	8.991013995	8.046971049	6.158885159
0.438	9.935512447	8.991433479	8.04735451	6.159196572
0.439	9.935961883	8.991847371	8.047732859	6.159503834
0.44	9.936405328	8.992255746	8.048106165	6.159807001
0.441	9.936842863	8.992658679	8.048474495	6.160106127
0.442	9.937274565	8.99305624	8.048837915	6.160401265
0.443	9.937700513	8.993448503	8.049196492	6.16069247
0.444	9.938120784	8.993835536	8.049550289	6.160979793
0.445	9.938535453	8.994217411	8.04989937	6.161263287
0.446	9.938944595	8.994594196	8.050243798	6.161543002
0.447	9.939348283	8.994965959	8.050583635	6.161818988
0.448	9.93974659	8.995332767	8.050918943	6.162091296
0.449	9.940139588	8.995694685	8.051249781	6.162359974
0.45	9.940527348	8.996051779	8.05157621	6.162625071
0.451	9.94090994	8.996404113	8.051898287	6.162886634
0.452	9.941287432	8.996751752	8.052216072	6.163144711
0.453	9.941659892	8.997094756	8.05252962	6.163399349
0.454	9.942027388	8.997433189	8.05283899	6.163650591
0.455	9.942389985	8.99776711	8.053144235	6.163898486
0.456	9.942747749	8.998096581	8.053445412	6.164143075
0.457	9.943100744	8.99842166	8.053742575	6.164384405
0.458	9.943449035	8.998742406	8.054035777	6.164622518
0.459	9.943792683	8.999058876	8.05432507	6.164857457
0.46	9.94413175	8.999371129	8.054610508	6.165089265
0.461	9.944466298	8.999679219	8.05489214	6.165317983
0.462	9.944796387	8.999983203	8.055170019	6.165543652
0.463	9.945122076	9.000283135	8.055444195	6.165766313
0.464	9.945443424	9.000579069	8.055714715	6.165986007
0.465	9.945760488	9.000871059	8.05598163	6.166202772
0.466	9.946073326	9.001159157	8.056244987	6.166416648
0.467	9.946381995	9.001443414	8.056504834	6.166627673
0.468	9.946686549	9.001723883	8.056761217	6.166835885
0.469	9.946987044	9.002000613	8.057014183	6.167041322
0.47	9.947283533	9.002273655	8.057263777	6.16724402
0.471	9.94757607	9.002543057	8.057510044	6.167444017
0.472	9.947864709	9.002808869	8.057753028	6.167641348
0.473	9.948149499	9.003071137	8.057992774	6.167836049
0.474	9.948430494	9.003329909	8.058229325	6.168028155
0.475	9.948707744	9.003585233	8.058462722	6.1682177
0.476	9.948981298	9.003837153	8.058693008	6.168404718
0.477	9.949251205	9.004085715	8.058920225	6.168589244
0.478	9.949517516	9.004330964	8.059144413	6.16877131
0.479	9.949780276	9.004572944	8.059365613	6.16895095
0.48	9.950039534	9.004811699	8.059583864	6.169128195
0.481	9.950295336	9.005047272	8.059799207	6.169303077
0.482	9.950547729	9.005279704	8.060011679	6.169475629
0.483	9.950796758	9.005509038	8.060221319	6.16964588
0.484	9.951042467	9.005735316	8.060428165	6.169813862
0.485	9.951284901	9.005958577	8.060632253	6.169979605
0.486	9.951524104	9.006178863	8.060833622	6.170143139
0.487	9.951760118	9.006396212	8.061032306	6.170304493
0.488	9.951992987	9.006610664	8.061228342	6.170463697
0.489	9.952222751	9.006822258	8.061421765	6.170620778
0.49	9.952449453	9.007031031	8.061612609	6.170775766
0.491	9.952673133	9.007237022	8.06180091	6.170928688
0.492	9.952893832	9.007440267	8.061986702	6.171079571
