t	I1	I2	I3	I4	i5
0.444	4.800690913	4.803787799	4.812241438	4.828896915	4.942347587
0.445	4.800675616	4.803719124	4.812053402	4.828511744	4.940988193
0.446	4.800660658	4.803651694	4.811868254	4.828131707	4.93964178
0.447	4.800646031	4.803585486	4.81168595	4.827756736	4.938308225
0.448	4.800631728	4.803520479	4.811506446	4.827386763	4.936987406
0.449	4.800617741	4.803456651	4.8113297	4.827021722	4.9356792
0.45	4.800604065	4.803393979	4.811155669	4.826661546	4.934383487
0.451	4.800590691	4.803332444	4.81098431	4.826306171	4.933100148
0.452	4.800577613	4.803272025	4.810815584	4.825955533	4.931829065
0.453	4.800564824	4.803212701	4.81064945	4.825609568	4.93057012
0.454	4.800552319	4.803154453	4.810485868	4.825268215	4.929323198
0.455	4.800540091	4.80309726	4.810324798	4.824931412	4.928088184
0.456	4.800528133	4.803041105	4.810166203	4.824599098	4.926864964
0.457	4.80051644	4.802985968	4.810010044	4.824271214	4.925653426
0.458	4.800505006	4.80293183	4.809856283	4.823947699	4.924453457
0.459	4.800493825	4.802878674	4.809704884	4.823628498	4.923264949
0.46	4.800482892	4.802826482	4.809555811	4.82331355	4.92208779
0.461	4.800472201	4.802775236	4.809409028	4.823002801	4.920921873
