t	I1	I2	I3	I4
0.396	0.515546118	0.080489447	0.008242266	0.000201252
0.397	0.511192959	0.079416594	0.008083108	0.00019541
0.398	0.506876556	0.07835804	0.007927024	0.000189738
0.399	0.502596601	0.077313596	0.007773954	0.00018423
0.4	0.498352785	0.076283073	0.007623839	0.000178883
0.401	0.494144802	0.075266287	0.007476624	0.00017369
0.402	0.489972351	0.074263053	0.007332251	0.000168648
0.403	0.485835131	0.073273192	0.007190666	0.000163753
0.404	0.481732845	0.072296524	0.007051815	0.000158999
0.405	0.477665198	0.071332875	0.006915645	0.000154384
0.406	0.473631897	0.07038207	0.006782104	0.000149902
0.407	0.469632652	0.069443939	0.006651142	0.000145551
0.408	0.465667176	0.068518312	0.006522709	0.000141326
0.409	0.461735184	0.067605023	0.006396756	0.000137224
0.41	0.457836392	0.066703907	0.006273236	0.00013324
0.411	0.453970522	0.065814802	0.0061521	0.000129373
0.412	0.450137293	0.064937549	0.006033303	0.000125617
0.413	0.446336432	0.064071988	0.005916801	0.000121971
0.414	0.442567664	0.063217964	0.005802548	0.00011843
0.415	0.438830719	0.062375324	0.005690501	0.000114992
0.416	0.435125328	0.061543916	0.005580618	0.000111654
0.417	0.431451224	0.060723589	0.005472857	0.000108413
0.418	0.427808144	0.059914197	0.005367176	0.000105266
0.419	0.424195825	0.059115593	0.005263537	0.000102211
0.42	0.420614008	0.058327634	0.005161898	9.92E-05
0.421	0.417062435	0.057550178	0.005062223	9.64E-05
0.422	0.41354085	0.056783084	0.004964471	9.36E-05
0.423	0.410049001	0.056026216	0.004868608	9.08E-05
0.424	0.406586637	0.055279435	0.004774596	8.82E-05
0.425	0.403153508	0.054542609	0.004682398	8.57E-05
0.426	0.399749367	0.053815604	0.004591982	8.32E-05
0.427	0.396373971	0.053098289	0.004503311	8.08E-05
0.428	0.393027075	0.052390535	0.004416352	7.84E-05
0.429	0.38970844	0.051692215	0.004331073	7.61E-05
0.43	0.386417827	0.051003203	0.00424744	7.39E-05
0.431	0.383154999	0.050323375	0.004165423	7.18E-05
0.432	0.379919721	0.049652609	0.004084989	6.97E-05
0.433	0.376711762	0.048990783	0.004006108	6.77E-05
0.434	0.37353089	0.048337779	0.00392875	6.57E-05
0.435	0.370376876	0.047693478	0.003852887	6.38E-05
0.436	0.367249494	0.047057766	0.003778488	6.19E-05
0.437	0.36414852	0.046430527	0.003705525	6.01E-05
0.438	0.361073729	0.045811649	0.003633972	5.84E-05
0.439	0.358024901	0.04520102	0.0035638	5.67E-05
0.44	0.355001816	0.04459853	0.003494984	5.51E-05
0.441	0.352004258	0.04400407	0.003427496	5.35E-05
0.442	0.349032011	0.043417535	0.003361311	5.19E-05
0.443	0.346084861	0.042838817	0.003296405	5.04E-05
0.444	0.343162595	0.042267813	0.003232751	4.89E-05
0.445	0.340265005	0.04170442	0.003170327	4.75E-05
0.446	0.337391881	0.041148537	0.003109108	4.61E-05
0.447	0.334543018	0.040600063	0.003049072	4.48E-05
0.448	0.331718209	0.040058899	0.002990194	4.35E-05
0.449	0.328917253	0.039524949	0.002932454	4.22E-05
0.45	0.326139947	0.038998116	0.002875829	4.10E-05
0.451	0.323386092	0.038478306	0.002820297	3.98E-05
0.452	0.320655491	0.037965424	0.002765837	3.87E-05
0.453	0.317947945	0.037459378	0.002712429	3.75E-05
0.454	0.315263262	0.036960077	0.002660052	3.65E-05
0.455	0.312601248	0.036467432	0.002608687	3.54E-05
0.456	0.309961711	0.035981353	0.002558313	3.44E-05
0.457	0.307344462	0.035501753	0.002508912	3.34E-05
0.458	0.304749312	0.035028545	0.002460466	3.24E-05
0.459	0.302176075	0.034561646	0.002412954	3.15E-05
0.46	0.299624566	0.034100969	0.00236636	3.05E-05
0.461	0.297094601	0.033646433	0.002320666	2.97E-05
0.462	0.294585999	0.033197956	0.002275854	2.88E-05
0.463	0.292098579	0.032755456	0.002231908	2.80E-05
0.464	0.289632162	0.032318854	0.00218881	2.72E-05
0.465	0.287186571	0.031888072	0.002146544	2.64E-05
0.466	0.28476163	0.031463032	0.002105094	2.56E-05
0.467	0.282357165	0.031043658	0.002064445	2.49E-05
0.468	0.279973003	0.030629873	0.002024581	2.41E-05
0.469	0.277608972	0.030221603	0.001985486	2.34E-05
0.47	0.275264902	0.029818776	0.001947147	2.28E-05
0.471	0.272940625	0.029421318	0.001909548	2.21E-05
0.472	0.270635974	0.029029157	0.001872674	2.15E-05
0.473	0.268350782	0.028642224	0.001836513	2.08E-05
0.474	0.266084887	0.028260448	0.00180105	2.02E-05
0.475	0.263838124	0.027883761	0.001766272	1.96E-05
0.476	0.261610332	0.027512095	0.001732166	1.91E-05
0.477	0.259401351	0.027145383	0.001698718	1.85E-05
0.478	0.257211023	0.026783559	0.001665916	1.80E-05
0.479	0.255039189	0.026426557	0.001633747	1.75E-05
0.48	0.252885694	0.026074315	0.001602199	1.69E-05
0.481	0.250750382	0.025726767	0.001571261	1.65E-05
0.482	0.2486331	0.025383852	0.00154092	1.60E-05
0.483	0.246533696	0.025045507	0.001511165	1.55E-05
0.484	0.244452019	0.024711672	0.001481985	1.51E-05
0.485	0.24238792	0.024382287	0.001453368	1.46E-05
0.486	0.240341249	0.024057293	0.001425303	1.42E-05
0.487	0.23831186	0.02373663	0.001397781	1.38E-05
0.488	0.236299606	0.023420242	0.00137079	1.34E-05
0.489	0.234304344	0.02310807	0.00134432	1.30E-05
