t	w	U	I	alpha
0.315	9.793571147	9.99	0.238661253	4.459674676
0.316	9.795912536	9.99	0.235480108	4.47885605
0.317	9.798222716	9.99	0.232341364	4.498041979
0.318	9.800502104	9.99	0.229244457	4.517232402
0.319	9.802751109	9.99	0.226188829	4.536427259
0.32	9.804970137	9.99	0.22317393	4.555626491
0.321	9.807159588	9.99	0.220199217	4.57483004
0.322	9.809319855	9.99	0.217264155	4.594037847
0.323	9.811451327	9.99	0.214368214	4.613249857
0.324	9.813554389	9.99	0.211510873	4.632466013
0.325	9.815629419	9.99	0.208691618	4.65168626
0.326	9.81767679	9.99	0.205909942	4.670910543
0.327	9.819696872	9.99	0.203165343	4.690138809
0.328	9.821690028	9.99	0.200457327	4.709371005
0.329	9.823656617	9.99	0.197785406	4.728607078
0.33	9.825596993	9.99	0.1951491	4.747846976
0.331	9.827511505	9.99	0.192547933	4.767090649
0.332	9.829400499	9.99	0.189981438	4.786338046
0.333	9.831264314	9.99	0.187449152	4.805589118
0.334	9.833103286	9.99	0.184950618	4.824843815
0.335	9.834917746	9.99	0.182485389	4.84410209
0.336	9.836708021	9.99	0.180053018	4.863363894
0.337	9.838474433	9.99	0.177653069	4.882629181
0.338	9.840217301	9.99	0.175285109	4.901897903
0.339	9.841936937	9.99	0.172948712	4.921170017
0.34	9.843633653	9.99	0.170643457	4.940445475
0.341	9.845307752	9.99	0.16836893	4.959724234
0.342	9.846959537	9.99	0.166124719	4.979006249
0.343	9.848589306	9.99	0.163910422	4.998291477
0.344	9.850197351	9.99	0.16172564	5.017579876
0.345	9.851783962	9.99	0.159569979	5.036871403
0.346	9.853349425	9.99	0.157443051	5.056166016
0.347	9.854894022	9.99	0.155344473	5.075463675
0.348	9.856418031	9.99	0.153273867	5.094764338
0.349	9.857921726	9.99	0.15123086	5.114067965
0.35	9.859405378	9.99	0.149215085	5.133374518
0.351	9.860869254	9.99	0.147226179	5.152683957
0.352	9.862313618	9.99	0.145263783	5.171996243
0.353	9.86373873	9.99	0.143327544	5.191311339
0.354	9.865144847	9.99	0.141417113	5.210629207
0.355	9.866532221	9.99	0.139532147	5.229949811
0.356	9.867901103	9.99	0.137672306	5.249273113
0.357	9.869251738	9.99	0.135837254	5.268599078
0.358	9.870584371	9.99	0.134026663	5.28792767
0.359	9.871899241	9.99	0.132240205	5.307258855
0.36	9.873196586	9.99	0.130477559	5.326592598
0.361	9.874476637	9.99	0.128738407	5.345928864
0.362	9.875739627	9.99	0.127022437	5.36526762
0.363	9.876985782	9.99	0.125329339	5.384608833
0.364	9.878215327	9.99	0.123658809	5.40395247
0.365	9.879428483	9.99	0.122010545	5.423298499
0.366	9.880625469	9.99	0.120384251	5.442646888
0.367	9.8818065	9.99	0.118779635	5.461997605
0.368	9.882971789	9.99	0.117196406	5.48135062
0.369	9.884121545	9.99	0.115634281	5.500705901
0.37	9.885255977	9.99	0.114092977	5.520063419
0.371	9.886375287	9.99	0.112572217	5.539423144
0.372	9.887479678	9.99	0.111071728	5.558785046
0.373	9.888569349	9.99	0.109591239	5.578149096
0.374	9.889644495	9.99	0.108130484	5.597515266
0.375	9.89070531	9.99	0.1066892	5.616883528
0.376	9.891751986	9.99	0.105267126	5.636253853
0.377	9.89278471	9.99	0.103864007	5.655626214
0.378	9.893803669	9.99	0.102479591	5.675000584
0.379	9.894809046	9.99	0.101113628	5.694376936
0.38	9.895801023	9.99	0.099765872	5.713755244
0.381	9.896779777	9.99	0.09843608	5.733135481
0.382	9.897745485	9.99	0.097124013	5.752517623
0.383	9.898698321	9.99	0.095829435	5.771901643
0.384	9.899638457	9.99	0.094552113	5.791287516
0.385	9.900566062	9.99	0.093291816	5.810675218
0.386	9.901481302	9.99	0.092048318	5.830064725
0.387	9.902384343	9.99	0.090821394	5.849456012
0.388	9.903275348	9.99	0.089610825	5.868849056
0.389	9.904154476	9.99	0.088416391	5.888243833
0.39	9.905021886	9.99	0.087237878	5.90764032
0.391	9.905877734	9.99	0.086075073	5.927038494
0.392	9.906722174	9.99	0.084927768	5.946438334
0.393	9.907555359	9.99	0.083795755	5.965839815
0.394	9.908377438	9.99	0.082678831	5.985242918
0.395	9.90918856	9.99	0.081576795	6.00464762
0.396	9.90998887	9.99	0.080489447	6.0240539
0.397	9.910778513	9.99	0.079416594	6.043461736
0.398	9.91155763	9.99	0.07835804	6.062871108
0.399	9.912326362	9.99	0.077313596	6.082281997
0.4	9.913084848	9.99	0.076283073	6.10169438
0.401	9.913833224	9.99	0.075266287	6.121108239
0.402	9.914571625	9.99	0.074263053	6.140523554
0.403	9.915300184	9.99	0.073273192	6.159940305
0.404	9.916019031	9.99	0.072296524	6.179358473
0.405	9.916728297	9.99	0.071332875	6.19877804
0.406	9.917428109	9.99	0.07038207	6.218198986
0.407	9.918118593	9.99	0.069443939	6.237621294
0.408	9.918799874	9.99	0.068518312	6.257044944
0.409	9.919472073	9.99	0.067605023	6.27646992
0.41	9.920135313	9.99	0.066703907	6.295896204
0.411	9.920789713	9.99	0.065814802	6.315323778
0.412	9.921435389	9.99	0.064937549	6.334752625
0.413	9.92207246	9.99	0.064071988	6.354182728
0.414	9.922701039	9.99	0.063217964	6.37361407
0.415	9.92332124	9.99	0.062375324	6.393046635
0.416	9.923933173	9.99	0.061543916	6.412480406
0.417	9.924536951	9.99	0.060723589	6.431915367
0.418	9.92513268	9.99	0.059914197	6.451351504
0.419	9.925720469	9.99	0.059115593	6.470788799
0.42	9.926300423	9.99	0.058327634	6.490227237
0.421	9.926872647	9.99	0.057550178	6.509666804
0.422	9.927437244	9.99	0.056783084	6.529107483
0.423	9.927994315	9.99	0.056026216	6.548549261
0.424	9.928543961	9.99	0.055279435	6.567992123
0.425	9.92908628	9.99	0.054542609	6.587436054
0.426	9.929621371	9.99	0.053815604	6.606881039
0.427	9.93014933	9.99	0.053098289	6.626327066
0.428	9.930670251	9.99	0.052390535	6.64577412
0.429	9.931184229	9.99	0.051692215	6.665222187
0.43	9.931691356	9.99	0.051003203	6.684671253
0.431	9.932191724	9.99	0.050323375	6.704121307
0.432	9.932685422	9.99	0.049652609	6.723572333
0.433	9.933172539	9.99	0.048990783	6.74302432
0.434	9.933653164	9.99	0.048337779	6.762477255
0.435	9.934127382	9.99	0.047693478	6.781931124
0.436	9.934595279	9.99	0.047057766	6.801385916
0.437	9.93505694	9.99	0.046430527	6.820841618
0.438	9.935512447	9.99	0.045811649	6.840298218
0.439	9.935961883	9.99	0.04520102	6.859755705
0.44	9.936405328	9.99	0.04459853	6.879214065
0.441	9.936842863	9.99	0.04400407	6.898673288
0.442	9.937274565	9.99	0.043417535	6.918133363
0.443	9.937700513	9.99	0.042838817	6.937594277
0.444	9.938120784	9.99	0.042267813	6.957056019
0.445	9.938535453	9.99	0.04170442	6.976518579
0.446	9.938944595	9.99	0.041148537	6.995981946
0.447	9.939348283	9.99	0.040600063	7.015446109
0.448	9.93974659	9.99	0.040058899	7.034911057
0.449	9.940139588	9.99	0.039524949	7.054376779
0.45	9.940527348	9.99	0.038998116	7.073843267
0.451	9.94090994	9.99	0.038478306	7.093310508
0.452	9.941287432	9.99	0.037965424	7.112778494
0.453	9.941659892	9.99	0.037459378	7.132247214
0.454	9.942027388	9.99	0.036960077	7.151716659
0.455	9.942389985	9.99	0.036467432	7.171186818
0.456	9.942747749	9.99	0.035981353	7.190657683
0.457	9.943100744	9.99	0.035501753	7.210129244
0.458	9.943449035	9.99	0.035028545	7.229601491
0.459	9.943792683	9.99	0.034561646	7.249074416
0.46	9.94413175	9.99	0.034100969	7.268548009
0.461	9.944466298	9.99	0.033646433	7.288022262
0.462	9.944796387	9.99	0.033197956	7.307497166
0.463	9.945122076	9.99	0.032755456	7.326972712
0.464	9.945443424	9.99	0.032318854	7.346448891
0.465	9.945760488	9.99	0.031888072	7.365925696
0.466	9.946073326	9.99	0.031463032	7.385403117
0.467	9.946381995	9.99	0.031043658	7.404881147
0.468	9.946686549	9.99	0.030629873	7.424359777
0.469	9.946987044	9.99	0.030221603	7.443839
0.47	9.947283533	9.99	0.029818776	7.463318807
0.471	9.94757607	9.99	0.029421318	7.482799191
0.472	9.947864709	9.99	0.029029157	7.502280144
0.473	9.948149499	9.99	0.028642224	7.521761659
0.474	9.948430494	9.99	0.028260448	7.541243727
0.475	9.948707744	9.99	0.027883761	7.560726343
0.476	9.948981298	9.99	0.027512095	7.580209497
0.477	9.949251205	9.99	0.027145383	7.599693184
0.478	9.949517516	9.99	0.026783559	7.619177395
0.479	9.949780276	9.99	0.026426557	7.638662125
0.48	9.950039534	9.99	0.026074315	7.658147366
0.481	9.950295336	9.99	0.025726767	7.677633111
0.482	9.950547729	9.99	0.025383852	7.697119353
0.483	9.950796758	9.99	0.025045507	7.716606087
0.484	9.951042467	9.99	0.024711672	7.736093305
0.485	9.951284901	9.99	0.024382287	7.755581001
0.486	9.951524104	9.99	0.024057293	7.775069169
0.487	9.951760118	9.99	0.02373663	7.794557802
0.488	9.951992987	9.99	0.023420242	7.814046894
0.489	9.952222751	9.99	0.02310807	7.833536439
0.49	9.952449453	9.99	0.02280006	7.853026431
0.491	9.952673133	9.99	0.022496155	7.872516864
0.492	9.952893832	9.99	0.022196301	7.892007732
0.493	9.953111589	9.99	0.021900444	7.91149903
0.494	9.953326444	9.99	0.02160853	7.930990751
0.495	9.953538434	9.99	0.021320507	7.95048289
0.496	9.9537476	9.99	0.021036324	7.969975441
0.497	9.953953977	9.99	0.020755928	7.989468399
0.498	9.954157603	9.99	0.02047927	8.008961759
0.499	9.954358515	9.99	0.020206299	8.028455515
