t	w1	w2	w3	w4
0.412	9.629150061	9.921435389	9.964934838	9.96914626
0.413	9.632021628	9.92207246	9.965017792	9.969148713
0.414	9.634868949	9.922701039	9.965099144	9.969151095
0.415	9.637692227	9.92332124	9.965178925	9.969153408
0.416	9.640491666	9.923933173	9.965257166	9.969155654
0.417	9.643267468	9.924536951	9.965333896	9.969157834
0.418	9.646019831	9.92513268	9.965409144	9.969159951
0.419	9.648748954	9.925720469	9.96548294	9.969162007
0.42	9.651455033	9.926300423	9.96555531	9.969164003
0.421	9.654138262	9.926872647	9.965626283	9.969165941
0.422	9.656798834	9.927437244	9.965695885	9.969167823
0.423	9.659436942	9.927994315	9.965764143	9.96916965
0.424	9.662052773	9.928543961	9.965831084	9.969171424
0.425	9.664646517	9.92908628	9.965896731	9.969173147
0.426	9.667218361	9.929621371	9.965961111	9.96917482
0.427	9.669768488	9.93014933	9.966024248	9.969176444
0.428	9.672297082	9.930670251	9.966086166	9.969178021
0.429	9.674804325	9.931184229	9.966146888	9.969179552
0.43	9.677290398	9.931691356	9.966206437	9.969181039
0.431	9.679755479	9.932191724	9.966264837	9.969182482
0.432	9.682199746	9.932685422	9.966322109	9.969183884
0.433	9.684623373	9.933172539	9.966378275	9.969185245
0.434	9.687026536	9.933653164	9.966433356	9.969186566
0.435	9.689409407	9.934127382	9.966487374	9.969187849
0.436	9.691772158	9.934595279	9.966540349	9.969189095
0.437	9.694114958	9.93505694	9.9665923	9.969190305
0.438	9.696437976	9.935512447	9.966643249	9.96919148
0.439	9.698741379	9.935961883	9.966693214	9.96919262
0.44	9.701025333	9.936405328	9.966742214	9.969193727
0.441	9.703290001	9.936842863	9.966790268	9.969194803
0.442	9.705535547	9.937274565	9.966837393	9.969195847
0.443	9.707762132	9.937700513	9.966883609	9.96919686
0.444	9.709969916	9.938120784	9.966928933	9.969197845
0.445	9.712159058	9.938535453	9.966973381	9.9691988
0.446	9.714329716	9.938944595	9.967016971	9.969199728
0.447	9.716482045	9.939348283	9.967059719	9.96920063
0.448	9.7186162	9.93974659	9.967101642	9.969201504
0.449	9.720732335	9.940139588	9.967142755	9.969202354
0.45	9.722830602	9.940527348	9.967183075	9.969203179
0.451	9.724911151	9.94090994	9.967222615	9.96920398
0.452	9.726974133	9.941287432	9.967261393	9.969204757
0.453	9.729019695	9.941659892	9.967299421	9.969205512
0.454	9.731047985	9.942027388	9.967336715	9.969206246
0.455	9.733059149	9.942389985	9.967373289	9.969206957
0.456	9.735053331	9.942747749	9.967409157	9.969207649
0.457	9.737030674	9.943100744	9.967444332	9.96920832
0.458	9.738991321	9.943449035	9.967478828	9.969208971
0.459	9.740935413	9.943792683	9.967512658	9.969209604
0.46	9.742863089	9.94413175	9.967545835	9.969210219
0.461	9.744774489	9.944466298	9.967578371	9.969210815
0.462	9.746669749	9.944796387	9.967610278	9.969211394
0.463	9.748549005	9.945122076	9.96764157	9.969211957
0.464	9.750412394	9.945443424	9.967672257	9.969212503
0.465	9.752260049	9.945760488	9.967702352	9.969213033
0.466	9.754092103	9.946073326	9.967731865	9.969213548
0.467	9.755908687	9.946381995	9.967760809	9.969214048
0.468	9.757709932	9.946686549	9.967789194	9.969214533
0.469	9.759495968	9.946987044	9.967817031	9.969215004
0.47	9.761266923	9.947283533	9.96784433	9.969215462
0.471	9.763022924	9.94757607	9.967871102	9.969215906
0.472	9.764764098	9.947864709	9.967897357	9.969216338
0.473	9.766490571	9.948149499	9.967923105	9.969216757
0.474	9.768202465	9.948430494	9.967948356	9.969217164
0.475	9.769899904	9.948707744	9.967973119	9.969217558
0.476	9.77158301	9.948981298	9.967997404	9.969217942
0.477	9.773251905	9.949251205	9.96802122	9.969218314
0.478	9.774906708	9.949517516	9.968044577	9.969218676
0.479	9.776547538	9.949780276	9.968067482	9.969219027
0.48	9.778174513	9.950039534	9.968089945	9.969219368
0.481	9.779787751	9.950295336	9.968111974	9.969219699
0.482	9.781387366	9.950547729	9.968133578	9.96922002
0.483	9.782973475	9.950796758	9.968154765	9.969220332
0.484	9.784546191	9.951042467	9.968175542	9.969220635
0.485	9.786105628	9.951284901	9.968195919	9.969220929
0.486	9.787651897	9.951524104	9.968215901	9.969221215
0.487	9.789185109	9.951760118	9.968235499	9.969221492
0.488	9.790705375	9.951992987	9.968254717	9.969221761
0.489	9.792212805	9.952222751	9.968273565	9.969222023
0.49	9.793707506	9.952449453	9.968292048	9.969222277
0.491	9.795189586	9.952673133	9.968310175	9.969222523
0.492	9.796659152	9.952893832	9.968327951	9.969222763
0.493	9.798116309	9.953111589	9.968345385	9.969222995
