t	alpha1	alpha2	alpha3	alpha4
0.481	5.520986551	6.171275855	6.533688319	6.802678343
0.482	5.536494751	6.187059837	6.549501453	6.818493314
0.483	5.55200554	6.202844233	6.565314623	6.834308286
0.484	5.567518898	6.218629036	6.581127828	6.850123259
0.485	5.583034803	6.234414241	6.596941068	6.865938232
0.486	5.598553234	6.250199843	6.612754342	6.881753205
0.487	5.614074169	6.265985838	6.628567648	6.897568179
0.488	5.629597586	6.281772218	6.644380987	6.913383154
0.489	5.645123466	6.29755898	6.660194359	6.929198129
0.49	5.660651786	6.313346119	6.676007761	6.945013104
0.491	5.676182528	6.329133628	6.691821194	6.96082808
