t	w1	w2	w3	w4
0.371	7.675897643	8.005989315	8.067566591	8.075491883
0.372	7.679273822	8.006919026	8.067724412	8.075499075
0.373	7.682621493	8.007836344	8.067879186	8.075506058
0.374	7.685940897	8.008741436	8.068030971	8.075512839
0.375	7.689232273	8.009634463	8.068179824	8.075519423
0.376	7.692495857	8.010515588	8.068325804	8.075525815
0.377	7.695731885	8.011384967	8.068468965	8.075532022
0.378	7.698940587	8.012242759	8.068609361	8.075538049
0.379	7.702122197	8.013089117	8.068747046	8.075543901
0.38	7.705276941	8.013924193	8.068882072	8.075549583
0.381	7.708405048	8.014748139	8.069014492	8.0755551
0.382	7.711506741	8.015561102	8.069144354	8.075560457
0.383	7.714582244	8.01636323	8.069271708	8.075565659
0.384	7.717631779	8.017154665	8.069396603	8.075570709
0.385	7.720655564	8.017935552	8.069519087	8.075575613
0.386	7.723653816	8.01870603	8.069639206	8.075580374
0.387	7.726626753	8.019466238	8.069757004	8.075584998
0.388	7.729574586	8.020216313	8.069872529	8.075589487
0.389	7.732497528	8.020956391	8.069985822	8.075593846
0.39	7.73539579	8.021686603	8.070096928	8.075598078
0.391	7.73826958	8.022407083	8.070205888	8.075602187
0.392	7.741119103	8.023117959	8.070312745	8.075606177
0.393	7.743944566	8.02381936	8.070417538	8.075610052
0.394	7.746746172	8.024511412	8.070520307	8.075613813
0.395	7.749524121	8.02519424	8.070621092	8.075617466
0.396	7.752278614	8.025867966	8.070719931	8.075621013
0.397	7.755009849	8.026532712	8.070816861	8.075624456
0.398	7.757718021	8.027188597	8.07091192	8.0756278
0.399	7.760403327	8.02783574	8.071005143	8.075631047
0.4	7.763065958	8.028474257	8.071096566	8.075634199
0.401	7.765706106	8.029104263	8.071186223	8.07563726
0.402	7.768323962	8.029725872	8.071274149	8.075640232
0.403	7.770919713	8.030339195	8.071360378	8.075643118
0.404	7.773493546	8.030944344	8.071444941	8.07564592
0.405	7.776045647	8.031541426	8.071527871	8.07564864
0.406	7.778576198	8.032130549	8.0716092	8.075651282
0.407	7.781085381	8.03271182	8.071688959	8.075653847
0.408	7.783573378	8.033285344	8.071767177	8.075656338
0.409	7.786040366	8.033851222	8.071843885	8.075658756
0.41	7.788486524	8.034409558	8.071919112	8.075661104
0.411	7.790912027	8.034960452	8.071992886	8.075663384
0.412	7.793317049	8.035504003	8.072065236	8.075665597
0.413	7.795701764	8.036040309	8.072136188	8.075667747
0.414	7.798066343	8.036569466	8.072205771	8.075669834
0.415	7.800410956	8.03709157	8.072274009	8.07567186
0.416	7.802735771	8.037606715	8.072340931	8.075673828
0.417	7.805040957	8.038114994	8.072406559	8.075675739
